"АРМ ""Ресурс"", Версия 4.9.5 build 17058 сборка от 2025-04-16";;;
;;;
Экспорт истории расхода счётчиков;;;
;;;
Выбранная начальная дата:;01.01.2025;;
;;;
Выбранная конечная дата:;23.12.2025;;
;;;
Время начала экспорта данных:;23.12.2025 15:12:57;;
;;;
;;;
;;;
Устройство;Счётчик электроэнергии;;
ID;1116;;
Серийный номер;012967198800597;;
Абонент;Абонент (единый счёт)_1;;
Адрес;г. Астрахань, ул. Адмирала Нахимова, д. 141Б, п. 2, кв. 60;;
Дом;ЖК Семейный;;
Подъезд;Подъезд_02;;
Квартира;Квартира_060;;
Время;Тариф;Значение расхода;
10.06.2025 00:00:00;1;8,276;
10.06.2025 00:00:00;2;0,443;
10.06.2025 00:00:00;3;0,000;
10.06.2025 00:00:00;4;0,000;
11.06.2025 00:00:00;1;11,020;
11.06.2025 00:00:00;2;0,443;
11.06.2025 00:00:00;3;0,000;
11.06.2025 00:00:00;4;0,000;
12.06.2025 00:00:00;1;11,338;
12.06.2025 00:00:00;2;0,443;
12.06.2025 00:00:00;3;0,000;
12.06.2025 00:00:00;4;0,000;
13.06.2025 00:00:00;1;11,605;
13.06.2025 00:00:00;2;0,443;
13.06.2025 00:00:00;3;0,000;
13.06.2025 00:00:00;4;0,000;
14.06.2025 00:00:00;1;11,895;
14.06.2025 00:00:00;2;0,443;
14.06.2025 00:00:00;3;0,000;
14.06.2025 00:00:00;4;0,000;
15.06.2025 00:00:00;1;12,044;
15.06.2025 00:00:00;2;0,443;
15.06.2025 00:00:00;3;0,000;
15.06.2025 00:00:00;4;0,000;
16.06.2025 00:00:00;1;12,044;
16.06.2025 00:00:00;2;0,443;
16.06.2025 00:00:00;3;0,000;
16.06.2025 00:00:00;4;0,000;
17.06.2025 00:00:00;1;12,044;
17.06.2025 00:00:00;2;0,443;
17.06.2025 00:00:00;3;0,000;
17.06.2025 00:00:00;4;0,000;
18.06.2025 00:00:00;1;12,044;
18.06.2025 00:00:00;2;0,443;
18.06.2025 00:00:00;3;0,000;
18.06.2025 00:00:00;4;0,000;
19.06.2025 00:00:00;1;12,044;
19.06.2025 00:00:00;2;0,443;
19.06.2025 00:00:00;3;0,000;
19.06.2025 00:00:00;4;0,000;
20.06.2025 00:00:00;1;12,044;
20.06.2025 00:00:00;2;0,443;
20.06.2025 00:00:00;3;0,000;
20.06.2025 00:00:00;4;0,000;
21.06.2025 00:00:00;1;12,044;
21.06.2025 00:00:00;2;0,443;
21.06.2025 00:00:00;3;0,000;
21.06.2025 00:00:00;4;0,000;
22.06.2025 00:00:00;1;12,044;
22.06.2025 00:00:00;2;0,443;
22.06.2025 00:00:00;3;0,000;
22.06.2025 00:00:00;4;0,000;
23.06.2025 00:00:00;1;12,044;
23.06.2025 00:00:00;2;0,443;
23.06.2025 00:00:00;3;0,000;
23.06.2025 00:00:00;4;0,000;
24.06.2025 00:00:00;1;12,044;
24.06.2025 00:00:00;2;0,443;
24.06.2025 00:00:00;3;0,000;
24.06.2025 00:00:00;4;0,000;
25.06.2025 00:00:00;1;12,044;
25.06.2025 00:00:00;2;0,443;
25.06.2025 00:00:00;3;0,000;
25.06.2025 00:00:00;4;0,000;
26.06.2025 00:00:00;1;12,044;
26.06.2025 00:00:00;2;0,443;
26.06.2025 00:00:00;3;0,000;
26.06.2025 00:00:00;4;0,000;
27.06.2025 00:00:00;1;12,044;
27.06.2025 00:00:00;2;0,443;
27.06.2025 00:00:00;3;0,000;
27.06.2025 00:00:00;4;0,000;
28.06.2025 00:00:00;1;12,927;
28.06.2025 00:00:00;2;0,443;
28.06.2025 00:00:00;3;0,000;
28.06.2025 00:00:00;4;0,000;
29.06.2025 00:00:00;1;19,163;
29.06.2025 00:00:00;2;0,443;
29.06.2025 00:00:00;3;0,000;
29.06.2025 00:00:00;4;0,000;
30.06.2025 00:00:00;1;19,163;
30.06.2025 00:00:00;2;0,443;
30.06.2025 00:00:00;3;0,000;
30.06.2025 00:00:00;4;0,000;
01.07.2025 00:00:00;1;19,163;
01.07.2025 00:00:00;2;0,443;
01.07.2025 00:00:00;3;0,000;
01.07.2025 00:00:00;4;0,000;
